Entry	Length	Annotation	Mass
Q54NF2	91	2.0	10180
Q54NG2	180	2.0	20185
Q54NG3	276	2.0	29926
Q54NG6	1065	2.0	119578
Q54NG7	309	2.0	35593
Q54NG9	480	2.0	53359
Q54NH1	864	2.0	98798
Q54NI1	837	2.0	96767
Q54NI7	176	2.0	21437
Q54NK8	285	2.0	32514
Q54NM0	1604	2.0	183617
Q54NM4	390	2.0	44462
Q54NM5	640	2.0	72416
Q54NN1	254	2.0	29964
Q54NN4	427	2.0	50087
Q54NP1	989	2.0	111770
Q54NQ0	385	2.0	44133
Q54NQ9	329	2.0	36158
Q54NR3	106	2.0	12275
Q54NS1	408	2.0	45978
Q54NS4	383	2.0	44293
Q54NS6	471	2.0	53942
Q54NS7	158	2.0	17605
Q54NS8	387	2.0	42511
Q54NS9	408	2.0	45761
Q54NT2	374	2.0	42510
Q54NU3	925	2.0	102132
Q54NU5	423	2.0	46423
Q54NU8	1408	2.0	156889
Q54NV0	1155	2.0	132053
Q54NW0	177	2.0	20648
Q54NW3	759	2.0	86076
Q54NW5	1533	2.0	173366
Q54NW6	1265	2.0	138977
Q54NW9	214	2.0	23199
Q54NX2	126	2.0	14754
Q54NY3	502	2.0	58248
Q54NZ0	88	2.0	9855
Q54NZ2	337	2.0	38858
Q54NZ4	139	2.0	16510
Q54NZ7	311	2.0	35060
Q54P07	228	2.0	26056
Q54P09	420	2.0	49004
Q54P11	396	2.0	44610
Q54P22	1186	2.0	134384
Q54P23	212	2.0	23586
Q54P24	1215	2.0	138766
Q54P27	207	2.0	24023
Q54P32	414	2.0	48413
Q54P33	333	2.0	38833
Q54P34	546	2.0	61807
Q54P37	879	2.0	99348
Q54P40	209	2.0	23712
Q54P41	992	2.0	108668
Q54P44	199	2.0	22956
Q54P46	104	2.0	11919
Q54P58	284	2.0	33336
Q54P59	320	2.0	35043
Q54P60	777	2.0	89995
Q54P62	469	2.0	51970
Q54P64	909	2.0	102979
Q54P68	594	2.0	66964
Q54P69	733	2.0	79232
Q54P70	766	2.0	88807
Q54P71	473	2.0	54859
Q54P72	464	2.0	53626
Q54P75	880	2.0	101486
Q54P87	470	2.0	52820
Q54P95	78	2.0	9115
Q54PA8	305	2.0	29345
Q54PB7	1924	2.0	218099
Q54PD5	386	2.0	43637
Q54PD9	554	2.0	62653
Q54PE8	927	2.0	102106
Q54PF0	470	2.0	54331
Q54PF1	268	2.0	31019
Q54PF9	678	2.0	76217
Q54PG1	111	2.0	12690
Q54PG3	604	2.0	68178
Q54PG4	293	2.0	35147
Q54PG5	399	2.0	43912
Q54PH9	389	2.0	45383
Q54PI4	493	2.0	55935
Q54PI5	200	2.0	22831
Q54PI9	935	2.0	106462
Q54PJ9	462	2.0	54815
Q54PK0	463	2.0	54298
Q54PK3	465	2.0	54948
Q54PK6	360	2.0	41101
Q54PL2	1024	2.0	116051
Q54PL3	1028	2.0	118019
Q54PM0	423	2.0	48536
Q54PM5	547	2.0	64296
Q54PM7	319	2.0	34504
Q54PN3	267	2.0	30946
Q54PP0	252	2.0	30406
Q54PP7	1154	2.0	131488
Q54PP9	537	2.0	61534
Q54PQ0	510	2.0	58115
Q54PQ2	944	2.0	104721
Q54PQ5	257	2.0	29666
Q54PQ6	802	2.0	92004
Q54PQ9	713	2.0	80196
Q54PR7	271	2.0	30533
Q54PS7	569	2.0	66421
Q54PS8	647	2.0	74420
Q54PS9	428	2.0	48249
Q54PT3	657	2.0	76315
Q54PT6	157	2.0	18484
Q54PU0	480	2.0	53100
Q54PU1	638	2.0	68990
Q54PV0	354	2.0	40466
Q54PV1	1800	2.0	198347
Q54PV3	700	2.0	80289
Q54PV7	608	2.0	68034
Q54PV8	279	2.0	31441
Q54PV9	575	2.0	66120
Q54PW0	487	2.0	56052
Q54PW2	231	2.0	27796
Q54PW3	907	2.0	106077
Q54PX1	764	2.0	85792
Q54PX2	617	2.0	69788
Q54PX6	403	2.0	44420
Q54PX7	430	2.0	49476
Q54PX8	676	2.0	71306
Q54PX9	136	2.0	14906
Q54PZ2	67	2.0	7206
Q54PZ3	765	2.0	87105
Q54PZ4	367	2.0	41436
Q54PZ6	702	2.0	80287
Q54Q03	67	2.0	7635
Q54Q05	109	2.0	12576
Q54Q06	222	2.0	25606
Q54Q07	548	2.0	62406
Q54Q18	580	2.0	65712
Q54Q19	486	2.0	57022
Q54Q20	920	2.0	100420
Q54Q23	863	2.0	93613
Q54Q30	293	2.0	31836
Q54Q39	336	2.0	38952
Q54Q41	1065	2.0	124010
Q54Q48	633	2.0	70761
Q54Q49	1129	2.0	130432
Q54Q51	147	2.0	16439
Q54Q53	509	2.0	59026
Q54Q63	232	2.0	27665
Q54Q64	315	2.0	36714
Q54Q65	423	2.0	48973
Q54Q66	1390	2.0	158712
Q54Q68	522	2.0	56951
Q54Q72	464	2.0	52376
Q54Q77	985	2.0	106320
Q54Q83	237	2.0	26076
Q54Q90	530	2.0	58397
Q54Q91	190	2.0	21711
Q54Q92	733	2.0	83584
Q54Q96	324	2.0	37794
Q54Q97	310	2.0	36149
Q54QA5	836	2.0	89978
Q54QA6	507	2.0	58661
Q54QB2	523	2.0	59778
Q54QB4	855	2.0	99387
Q54QB8	1041	2.0	118921
Q54QC1	638	2.0	71425
Q54QC7	1051	2.0	122377
Q54QD0	483	2.0	55752
Q54QD2	483	2.0	55830
Q54QE8	667	2.0	76560
Q54QF0	535	2.0	60022
Q54QF1	1120	2.0	126508
Q54QF2	495	2.0	61362
Q54QG7	891	2.0	100650
Q54QH0	342	2.0	38127
Q54QH2	256	2.0	29738
Q54QH3	456	2.0	52246
Q54QH4	905	2.0	99499
Q54QI0	1658	2.0	187566
Q54QI7	406	2.0	44289
Q54QI8	326	2.0	35861
Q54QJ0	729	2.0	81731
Q54QJ2	402	2.0	45840
Q54QJ7	147	2.0	16925
Q54QK1	163	2.0	18494
Q54QK5	711	2.0	79689
Q54QK8	1064	2.0	117209
Q54QL1	1141	2.0	126286
Q54QM0	179	2.0	19475
Q54QM1	617	2.0	70175
Q54QM2	187	2.0	21305
Q54QM7	551	2.0	62586
Q54QM8	139	2.0	15658
Q54QN3	378	2.0	43424
Q54QP2	594	2.0	67610
Q54QP6	402	2.0	45957
Q54QQ7	727	2.0	83172
Q54QR1	1183	2.0	132913
Q54QR7	130	2.0	14278
Q54QR8	66	2.0	7337
Q54QS0	799	2.0	93288
Q54QS2	354	2.0	39216
Q54QT8	169	2.0	19322
Q54QT9	174	2.0	19929
Q54QU0	171	2.0	19848
Q54QU4	564	2.0	63761
Q54QU6	471	2.0	53399
Q54QV0	217	2.0	24913
Q54QV5	470	2.0	52935
Q54QV6	1050	2.0	118068
Q54QV7	198	2.0	23298
Q54QW5	89	2.0	9686
Q54QX0	140	2.0	15931
Q54QX2	465	2.0	50583
Q54QX7	1290	2.0	147330
Q54QY2	681	2.0	79679
Q54QY3	212	2.0	23227
Q54QY7	446	2.0	50225
Q54QY9	882	2.0	100176
Q54QZ5	594	2.0	67319
Q54R04	185	2.0	20771
Q54R05	412	2.0	47698
Q54R09	521	2.0	59522
Q54R14	393	2.0	46230
Q54R15	971	2.0	116302
Q54R25	1103	2.0	128938
Q54R44	303	2.0	35130
Q54R53	457	2.0	53066
Q54R55	296	2.0	32662
Q54R65	135	2.0	15659
Q54R67	269	2.0	30183
Q54R70	861	2.0	98421
Q54R72	1018	2.0	114779
Q54R76	580	2.0	67804
Q54R87	620	2.0	72826
Q54R92	2122	2.0	236439
Q54R93	556	2.0	64425
Q54R98	663	2.0	77522
Q54RA4	363	2.0	41517
Q54RA6	494	2.0	58776
Q54RA9	863	2.0	100318
Q54RB0	687	2.0	77587
Q54RB5	258	2.0	29019
Q54RC0	402	2.0	45319
Q54RC1	589	2.0	66142
Q54RC4	246	2.0	28277
Q54RD3	564	2.0	62679
Q54RE1	852	2.0	96258
Q54RH6	514	2.0	59197
Q54RI6	60	2.0	6984
Q54RI8	292	2.0	31939
Q54RJ1	619	2.0	71928
Q54RJ2	220	2.0	25273
Q54RJ3	652	2.0	75287
Q54RJ6	143	2.0	16324
Q54RK1	480	2.0	53174
Q54RK7	2063	2.0	235930
Q54RL3	545	2.0	60909
Q54RL6	446	2.0	52223
Q54RL7	601	2.0	69463
Q54RL8	285	2.0	32478
Q54RM0	379	2.0	43484
Q54RM1	422	2.0	47374
Q54RM4	767	2.0	85309
Q54RN7	119	2.0	13595
Q54RN8	812	2.0	91402
Q54RP1	323	2.0	37811
Q54RP2	194	2.0	21386
Q54RP3	222	2.0	25649
Q54RP5	554	2.0	64039
Q54RP7	637	2.0	70252
Q54RP8	931	2.0	103844
Q54RQ2	339	2.0	38975
Q54RQ3	436	2.0	50900
Q54RQ8	2192	2.0	248127
Q54RR3	776	2.0	89215
Q54RR4	542	2.0	62283
Q54RR6	343	2.0	39347
Q54RS1	1536	2.0	174295
Q54RS7	618	2.0	72102
Q54RT0	669	2.0	74829
Q54RT4	467	2.0	52786
Q54RU1	678	2.0	76921
Q54RV6	133	2.0	15686
Q54RW0	236	2.0	27382
Q54RW5	952	2.0	106809
Q54RX1	194	2.0	22069
Q54RX2	629	2.0	72374
Q54RX5	432	2.0	49997
Q54RY0	407	2.0	46685
Q54RY4	233	2.0	27197
Q54RY8	99	2.0	11637
Q54RZ2	182	2.0	20417
Q54RZ9	372	2.0	42326
Q54S00	332	2.0	37875
Q54S08	623	2.0	70657
Q54S10	390	2.0	43989
Q54S11	1775	2.0	201474
Q54S12	499	2.0	55471
Q54S15	1069	2.0	122183
Q54S16	770	2.0	88145
Q54S19	1361	2.0	157732
Q54S35	798	2.0	92500
Q54S38	371	2.0	40810
Q54S42	1459	2.0	166427
Q54S59	299	2.0	32355
Q54S79	942	2.0	107078
Q54S82	326	2.0	36411
Q54S87	341	2.0	40450
Q54S90	155	2.0	17817
Q54S94	362	2.0	42479
Q54S95	339	2.0	39662
Q54S96	224	2.0	25013
Q54SA3	1194	2.0	133561
Q54SA5	408	2.0	46002
Q54SA7	1256	2.0	139855
Q54SB0	617	2.0	65097
Q54SB4	431	2.0	49631
Q54SB5	569	2.0	64406
Q54SB6	552	2.0	63445
Q54SB7	3017	2.0	343070
Q54SC0	314	2.0	36190
Q54SC6	81	2.0	9507
Q54SD4	423	2.0	47731
Q54SF4	935	2.0	106754
Q54SF5	215	2.0	24791
Q54SG3	375	2.0	40387
Q54SG7	226	2.0	26979
Q54SG9	932	2.0	104712
Q54SH0	712	2.0	81490
Q54SH2	635	2.0	73802
Q54SI1	724	2.0	83687
Q54SI2	488	2.0	55844
Q54SI5	93	2.0	10716
Q54SJ3	438	2.0	52183
Q54SJ7	947	2.0	105475
Q54SJ8	148	2.0	15356
Q54SJ9	1398	2.0	159892
Q54SK0	484	2.0	56206
Q54SL5	1331	2.0	149613
Q54SL6	531	2.0	59040
Q54SN0	504	2.0	57923
Q54SN1	977	2.0	109896
Q54SQ0	363	2.0	40394
Q54SQ3	96	2.0	9619
Q54SQ4	848	2.0	97750
Q54SS1	250	2.0	28589
Q54SS3	383	2.0	42367
Q54ST0	129	2.0	14025
Q54ST2	463	2.0	54029
Q54ST3	885	2.0	104355
Q54ST6	216	2.0	24821
Q54SU1	620	2.0	73101
Q54SU3	460	2.0	55118
Q54SU8	698	2.0	77132
Q54SV2	674	2.0	76548
Q54SV5	480	2.0	55953
Q54SV6	113	2.0	12221
Q54SW1	145	2.0	16156
Q54SX6	356	2.0	41244
Q54SY8	540	2.0	63141
Q54SZ4	1640	2.0	187411
Q54SZ8	142	2.0	15310
Q54SZ9	147	2.0	16148
Q54T07	109	2.0	12991
Q54T09	301	2.0	31051
Q54T16	650	2.0	76847
Q54T17	588	2.0	69116
Q54T24	1540	2.0	177728
Q54T29	420	2.0	48008
Q54T45	560	2.0	65295
Q54T59	750	2.0	84701
Q54T60	156	2.0	17495
Q54T65	639	2.0	70944
Q54T71	818	2.0	93231
Q54T74	1378	2.0	156164
Q54T82	1211	2.0	137953
Q54T87	586	2.0	64206
Q54T92	2107	2.0	234617
Q54T97	1331	2.0	154233
Q54TA2	201	2.0	23013
Q54TA6	452	2.0	50739
Q54TB5	687	2.0	76792
Q54TB7	132	2.0	15479
Q54TB8	877	2.0	99009
Q54TC3	585	2.0	64874
Q54TC4	594	2.0	65733
Q54TC5	197	2.0	22118
Q54TC6	158	2.0	18729
Q54TD1	1630	2.0	177869
Q54TD3	538	2.0	59130
Q54TD5	1343	2.0	154165
Q54TD6	411	2.0	44302
Q54TD9	175	2.0	20027
Q54TE1	154	2.0	17411
Q54TE3	714	2.0	84613
Q54TE6	469	2.0	51486
Q54TE7	315	2.0	36364
Q54TE8	1021	2.0	114798
Q54TF3	620	2.0	69100
Q54TF7	407	2.0	46214
Q54TF9	445	2.0	50097
Q54TH4	309	2.0	35129
Q54TH8	530	2.0	58600
Q54TH9	721	2.0	80873
Q54TI0	284	2.0	32533
Q54TK0	96	2.0	10726
Q54TK4	1619	2.0	180877
Q54TK7	281	2.0	30575
Q54TK8	1502	2.0	168949
Q54TL4	647	2.0	72995
Q54TL8	112	2.0	12798
Q54TM1	1389	2.0	161346
Q54TM6	536	2.0	58437
Q54TM9	974	2.0	108480
Q54TN3	321	2.0	36005
Q54TN7	928	2.0	106388
Q54TQ1	1395	2.0	162288
Q54TQ2	688	2.0	78378
Q54TQ3	504	2.0	59831
Q54TR2	650	2.0	74941
Q54TR4	325	2.0	38130
Q54TR5	668	2.0	77042
Q54TR7	517	2.0	56269
Q54TS5	470	2.0	53153
Q54TT4	925	2.0	107427
Q54TT6	981	2.0	106068
Q54TT7	337	2.0	39007
Q54TU1	523	2.0	61151
Q54TU2	1784	2.0	197491
Q54TU8	186	2.0	20965
Q54TV7	1322	2.0	154546
Q54TW3	93	2.0	10448
Q54TW8	151	2.0	15963
Q54TX7	631	2.0	70486
Q54TY1	652	2.0	76905
Q54TY2	1655	2.0	189187
Q54TY5	182	2.0	21160
Q54TZ0	1800	2.0	205410
Q54TZ2	386	2.0	44788
Q54TZ3	1391	2.0	161146
Q54TZ8	1536	2.0	179335
Q54U07	160	2.0	17368
Q54U08	1256	2.0	142564
Q54U17	934	2.0	106649
Q54U33	401	2.0	44793
Q54U49	2731	2.0	317067
Q54U58	1113	2.0	129628
Q54U63	2491	2.0	283704
Q54U77	1506	2.0	162764
Q54U78	544	2.0	60903
Q54U85	706	2.0	79941
Q54U86	405	2.0	47669
Q54U94	298	2.0	34786
Q54UB0	173	2.0	20149
Q54UB1	521	2.0	58147
Q54UB5	413	2.0	47618
Q54UB6	575	2.0	64738
Q54UB7	418	2.0	47617
Q54UC2	904	2.0	103901
Q54UD1	748	2.0	86935
Q54UE3	170	2.0	18857
Q54UF1	184	2.0	21226
Q54UF7	340	2.0	37907
Q54UF8	417	2.0	46200
Q54UG3	1097	2.0	131147
Q54UG4	91	2.0	10000
Q54UG7	347	2.0	39494
Q54UH2	664	2.0	75614
Q54UH3	662	2.0	75277
Q54UH4	337	2.0	37998
Q54UI0	300	2.0	32086
Q54UI7	505	2.0	56996
Q54UJ0	447	2.0	51592
Q54UJ6	375	2.0	43256
Q54UL9	421	2.0	47742
Q54UM1	243	2.0	28510
Q54UN7	1049	2.0	123349
Q54UP1	528	2.0	60311
Q54UP5	1133	2.0	130185
Q54UP9	1267	2.0	140089
Q54UQ6	315	2.0	36609
Q54UQ7	440	2.0	49170
Q54US6	392	2.0	46078
Q54US7	326	2.0	37257
Q54UU1	135	2.0	15498
Q54UU2	191	2.0	21042
Q54UU9	1229	2.0	143447
Q54UV2	1427	2.0	161395
Q54UV8	983	2.0	115511
Q54UV9	936	2.0	110267
Q54UW0	972	2.0	114124
Q54UW4	1823	2.0	213172
Q54UW6	994	2.0	114720
Q54UX3	654	2.0	72185
Q54UZ7	310	2.0	35202
Q54UZ8	2373	2.0	271854
Q54V32	131	2.0	13676
Q54V37	312	2.0	34416
Q54V41	188	2.0	21374
Q54V47	188	2.0	21394
Q54V53	274	2.0	29855
Q54V54	40	2.0	4447
Q54V55	160	2.0	18008
Q54V57	1015	2.0	120133
Q54V61	112	2.0	13271
Q54V63	946	2.0	106669
Q54V76	73	2.0	8687
Q54V78	842	2.0	101135
Q54V82	213	2.0	24810
Q54V87	345	2.0	39051
Q54V92	1061	2.0	117849
Q54V96	358	2.0	39253
Q54VA5	622	2.0	71489
Q54VA6	304	2.0	35439
Q54VA9	715	2.0	81261
Q54VB2	2935	2.0	333877
Q54VB8	299	2.0	33025
Q54VC1	1436	2.0	164683
Q54VC2	1622	2.0	183972
Q54VC3	425	2.0	47774
Q54VC4	941	2.0	109012
Q54VC7	287	2.0	33408
Q54VD1	1422	2.0	162247
Q54VD6	1539	2.0	172825
Q54VD9	1212	2.0	132871
Q54VE3	217	2.0	24619
Q54VF4	1304	2.0	152212
Q54VG4	334	2.0	36711
Q54VG6	135	2.0	14259
Q54VI2	412	2.0	48170
Q54VJ1	548	2.0	62210
Q54VK1	986	2.0	111335
Q54VK7	157	2.0	17351
Q54VL1	157	2.0	17375
Q54VL8	580	2.0	63853
Q54VL9	509	2.0	58672
Q54VM3	1173	2.0	136362
Q54VM7	157	2.0	17443
Q54VN3	393	2.0	44708
Q54VN6	127	2.0	14793
Q54VP1	125	2.0	13708
Q54VP4	416	2.0	48063
Q54VQ0	835	2.0	90938
Q54VQ1	411	2.0	45669
Q54VR1	291	2.0	31646
Q54VS0	606	2.0	68840
Q54VS1	139	2.0	15390
Q54VS2	756	2.0	82455
Q54VS4	750	2.0	81772
Q54VT5	868	2.0	100285
Q54VU5	1192	2.0	132491
Q54VU8	1267	2.0	142850
Q54VV1	1201	2.0	136979
Q54VV3	1142	2.0	125530
Q54VV8	143	2.0	16562
Q54VW7	1203	2.0	135060
Q54VW9	185	2.0	21028
Q54VX1	457	2.0	51186
Q54VX2	1137	2.0	126037
Q54VX4	345	2.0	39012
Q54VX6	914	2.0	103296
Q54VY8	1010	2.0	114762
Q54VZ1	1107	2.0	122546
Q54VZ2	1086	2.0	119565
Q54VZ4	181	2.0	20523
Q54VZ5	840	2.0	88693
Q54W03	766	2.0	83282
Q54W06	723	2.0	82320
Q54W11	285	2.0	31583
Q54W13	2274	2.0	263163
Q54W22	741	2.0	82363
Q54W23	424	2.0	48185
Q54W25	441	2.0	49192
Q54W40	940	2.0	107015
Q54W41	1107	2.0	125278
Q54W43	159	2.0	18199
Q54W51	291	2.0	33509
Q54W77	271	2.0	30938
Q54W81	1141	2.0	126093
Q54W88	415	2.0	45070
Q54W91	582	2.0	65959
Q54W95	781	2.0	90999
Q54W99	635	2.0	70030
Q54WA1	418	2.0	49117
Q54WA3	316	2.0	36810
Q54WA4	131	2.0	14797
Q54WA7	785	2.0	87736
Q54WB6	272	2.0	31344
Q54WB7	518	2.0	60707
Q54WB9	519	2.0	59285
Q54WC3	325	2.0	37697
Q54WC4	381	2.0	42787
Q54WC8	549	2.0	62059
Q54WD3	410	2.0	47122
Q54WD4	415	2.0	47757
Q54WF2	1164	2.0	130130
Q54WF8	265	2.0	29463
Q54WG0	224	2.0	24747
Q54WG1	540	2.0	60608
Q54WG5	754	2.0	86940
Q54WH0	921	2.0	103279
Q54WI3	779	2.0	86355
Q54WI4	330	2.0	37227
Q54WI8	325	2.0	36303
Q54WK1	419	2.0	48297
Q54WL8	902	2.0	103495
Q54WL9	782	2.0	85828
Q54WM0	351	2.0	40931
Q54WM1	469	2.0	55219
Q54WN2	296	2.0	36053
Q54WN5	609	2.0	71117
Q54WN6	515	2.0	59635
Q54WP3	237	2.0	26836
Q54WP5	992	2.0	114174
Q54WP9	516	2.0	58032
Q54WQ2	1236	2.0	140224
Q54WQ3	1626	2.0	183358
Q54WQ9	574	2.0	66157
Q54WR6	66	2.0	7683
Q54WR7	1363	2.0	156359
Q54WS6	434	2.0	50332
Q54WT3	864	2.0	96245
Q54WT4	364	2.0	40716
Q54WT7	284	2.0	32514
Q54WT9	1119	2.0	127749
Q54WU0	804	2.0	90842
Q54WU1	373	2.0	41491
Q54WU7	1238	2.0	140831
Q54WU9	271	2.0	30613
Q54WV6	496	2.0	58101
Q54WX3	679	2.0	76866
Q54WY0	237	2.0	26365
Q54WY1	1303	2.0	152584
Q54WY4	579	2.0	67099
Q54WY5	495	2.0	56865
Q54WY7	727	2.0	87815
Q54WY8	611	2.0	69666
Q54WY9	1032	2.0	116081
Q54WZ5	574	2.0	64025
Q54WZ6	791	2.0	88648
Q54X06	573	2.0	64905
Q54X08	803	2.0	93092
Q54X16	228	2.0	25572
Q54X17	742	2.0	84006
Q54X19	442	2.0	50771
Q54X21	841	2.0	97227
Q54X22	327	2.0	39115
Q54X25	1563	2.0	180165
Q54X28	765	2.0	88774
Q54X31	298	2.0	35602
Q54X41	183	2.0	20942
Q54X51	148	2.0	16876
Q54X53	160	2.0	18392
Q54X62	426	2.0	50107
Q54X64	611	2.0	69953
Q54X70	925	2.0	104637
Q54X75	1284	2.0	147190
Q54X84	627	2.0	70455
Q54XA2	2242	2.0	249308
Q54XA7	1145	2.0	127174
Q54XB0	149	2.0	17283
Q54XB2	3103	2.0	360289
Q54XB5	111	2.0	12766
Q54XB6	252	2.0	27025
Q54XE5	395	2.0	44729
Q54XE6	230	2.0	22373
Q54XE8	576	2.0	65649
Q54XF1	775	2.0	87903
Q54XF6	190	2.0	22019
Q54XG0	328	2.0	36064
Q54XG2	177	2.0	20678
Q54XG4	563	2.0	64486
Q54XG5	554	2.0	63982
Q54XG6	355	2.0	40805
Q54XG9	1415	2.0	156799
Q54XH4	718	2.0	82405
Q54XH6	281	2.0	32042
Q54XI5	188	2.0	21219
Q54XI9	1936	2.0	213056
Q54XJ0	213	2.0	24384
Q54XJ2	470	2.0	53684
Q54XJ7	1313	2.0	145205
Q54XJ8	398	2.0	45099
Q54XK0	142	2.0	15653
Q54XK1	235	2.0	25930
Q54XM0	409	2.0	46188
Q54XM5	918	2.0	104298
Q54XM9	450	2.0	50210
Q54XN7	1816	2.0	210540
Q54XN8	319	2.0	35782
Q54XP9	1297	2.0	148730
Q54XQ3	904	2.0	103730
Q54XQ5	323	2.0	35638
Q54XQ8	360	2.0	42035
Q54XQ9	2233	2.0	246647
Q54XR0	668	2.0	76475
Q54XR2	243	2.0	28095
Q54XR3	716	2.0	81232
Q54XR4	229	2.0	25971
Q54XR6	460	2.0	50591
Q54XS7	310	2.0	34105
Q54XS9	506	2.0	56261
Q54XT6	783	2.0	86060
Q54XT8	298	2.0	35887
Q54XU0	562	2.0	65533
Q54XU3	1334	2.0	152660
Q54XU5	198	2.0	21627
Q54XV4	380	2.0	43555
Q54XW5	701	2.0	78026
Q54XW7	273	2.0	32415
Q54XW8	874	2.0	98230
Q54XX0	1213	2.0	140703
Q54XX1	290	2.0	32308
Q54XX3	292	2.0	32804
Q54XZ7	343	2.0	39787
Q54Y04	451	2.0	52021
Q54Y17	527	2.0	60577
Q54Y24	948	2.0	104193
Q54Y25	108	2.0	12595
Q54Y33	1120	2.0	127694
Q54Y41	124	2.0	13900
Q54Y42	221	2.0	25125
Q54Y54	189	2.0	22408
Q54Y60	337	2.0	36959
Q54Y72	338	2.0	37487
Q54Y73	834	2.0	93067
Q54Y75	583	2.0	65855
Q54Y76	278	2.0	31626
Q54Y82	752	2.0	85982
Q54Y83	80	2.0	9297
Q54Y85	676	2.0	78592
Q54Y92	1106	2.0	127668
Q54Y96	530	2.0	60437
Q54Y98	326	2.0	36586
Q54YA2	450	2.0	50266
Q54YA7	826	2.0	95855
Q54YB2	609	2.0	71397
Q54YB3	1340	2.0	147664
Q54YB7	564	2.0	66242
Q54YC2	1002	2.0	112393
Q54YD0	635	2.0	71959
Q54YD2	141	2.0	14968
Q54YD4	1067	2.0	122599
Q54YE9	372	2.0	42295
Q54YF1	286	2.0	33591
Q54YF4	660	2.0	73549
Q54YF5	324	2.0	38033
Q54YG5	186	2.0	20746
Q54YG8	1117	2.0	124099
Q54YH2	420	2.0	48097
Q54YI1	80	2.0	9658
Q54YJ2	439	2.0	51017
Q54YJ6	141	2.0	16448
Q54YK1	382	2.0	43694
Q54YK4	120	2.0	13884
Q54YK8	880	2.0	100471
Q54YL3	744	2.0	84350
Q54YM3	915	2.0	101887
Q54YM8	622	2.0	69792
Q54YN1	179	2.0	19141
Q54YP1	1089	2.0	120708
Q54YP8	477	2.0	55551
Q54YQ8	574	2.0	62737
Q54YR4	61	2.0	6736
Q54YR8	270	2.0	31397
Q54YR9	225	2.0	25688
Q54YS0	117	2.0	13574
Q54YU4	718	2.0	81927
Q54YU5	686	2.0	79373
Q54YV1	817	2.0	89956
Q54YV7	195	2.0	22166
Q54YW4	337	2.0	39384
Q54YX7	63	2.0	7300
Q54YY1	773	2.0	88292
Q54YZ1	3282	2.0	377791
Q54YZ3	524	2.0	59352
Q54YZ4	250	2.0	27473
Q54Z02	365	2.0	40304
Q54Z07	89	2.0	10556
Q54Z09	157	2.0	17388
Q54Z20	655	2.0	73152
Q54Z22	417	2.0	47124
Q54Z23	1107	2.0	121710
Q54Z32	315	2.0	34808
Q54Z40	1217	2.0	136877
Q54Z52	822	2.0	91969
Q54Z53	124	2.0	13496
Q54Z56	485	2.0	57522
Q54Z60	674	2.0	75586
Q54Z72	1133	2.0	127991
Q54ZA9	2186	2.0	242811
Q54ZB3	1449	2.0	165186
Q54ZC6	328	2.0	37684
Q54ZD0	210	2.0	23517
Q54ZD1	285	2.0	31881
Q54ZD6	1068	2.0	122933
Q54ZG5	317	2.0	37235
Q54ZG7	128	2.0	14335
Q54ZH1	302	2.0	34122
Q54ZI6	554	2.0	63730
Q54ZK0	1113	2.0	125537
Q54ZK3	1100	2.0	122562
Q54ZM4	494	2.0	57390
Q54ZN2	760	2.0	85108
Q54ZN9	2460	2.0	274590
Q54ZP5	1172	2.0	132138
Q54ZP8	516	2.0	56946
Q54ZS5	1068	2.0	119841
Q54ZS8	222	2.0	24747
Q54ZT0	237	2.0	27469
Q54ZU8	299	2.0	32918
Q54ZV3	870	2.0	98722
Q54ZW5	273	2.0	30357
Q54ZX6	291	2.0	33884
Q54ZX7	1955	2.0	222369
Q54ZX8	549	2.0	64279
Q550A6	484	2.0	53676
Q550E1	1387	2.0	149049
Q550E3	110	2.0	12466
Q550E9	211	2.0	23978
Q550G0	400	2.0	46981
Q550H7	821	2.0	92905
Q550I5	400	2.0	45672
Q550L4	781	2.0	89583
Q550P6	1160	2.0	134586
Q550Q3	728	2.0	82156
Q550S9	257	2.0	30595
Q550T0	258	2.0	30690
Q550U6	321	2.0	37427
Q550V3	1094	2.0	119161
Q550W1	399	2.0	45059
Q551A1	383	2.0	43795
Q551A3	2772	2.0	319388
Q551B2	1177	2.0	132172
Q551B5	1119	2.0	126106
Q551C0	944	2.0	105068
Q551C1	458	2.0	52776
Q551C2	232	2.0	25064
Q551C5	1397	2.0	156802
Q551E0	831	2.0	94854
Q551G1	199	2.0	23048
Q551G5	518	2.0	61246
Q551H5	314	2.0	36301
Q551I6	2104	2.0	232543
Q551I8	391	2.0	44814
Q551J1	312	2.0	35187
Q551L2	811	2.0	93784
Q551M4	354	2.0	39591
Q551N8	513	2.0	56939
Q551P7	1867	2.0	210703
Q551Q8	843	2.0	96196
Q551S0	378	2.0	41247
Q551V5	722	2.0	77779
Q551X6	527	2.0	57744
Q551X9	1109	2.0	125421
Q551Y5	841	2.0	95598
Q551Y7	1442	2.0	163804
Q552B8	990	2.0	112178
Q552F9	123	2.0	14394
Q552H6	468	2.0	54858
Q552H9	499	2.0	55960
Q552I0	1186	2.0	128053
Q552J0	537	2.0	58540
Q552K7	1984	2.0	224540
Q552K9	200	2.0	23099
Q552L1	898	2.0	101756
Q552L5	215	2.0	25304
Q552L9	366	2.0	40633
Q552N4	562	2.0	63973
Q552P9	121	2.0	14170
Q552Q7	1450	2.0	166571
