# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-T" "8" "-a" "reference/D_discoideum_PASAua.gtf" "-o" "featureCounts_output.txt" "star_map/SRR1593424.bam" "star_map/SRR1593425.bam" "star_map/SRR1593426.bam" "star_map/SRR1593427.bam" "star_map/SRR1593428.bam" "star_map/SRR1593429.bam" "star_map/SRR1593430.bam" "star_map/SRR1593431.bam" "star_map/SRR1593432.bam" "star_map/SRR1593433.bam" "star_map/SRR1593434.bam" "star_map/SRR1593443.bam" "star_map/SRR1593444.bam" "star_map/SRR1593445.bam" "star_map/SRR1593446.bam" "star_map/SRR1593447.bam" "star_map/SRR1593448.bam" "star_map/SRR1593449.bam" "star_map/SRR1593450.bam" "star_map/SRR1593451.bam" "star_map/SRR1593452.bam" "star_map/SRR1593453.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map/SRR1593424.bam	star_map/SRR1593425.bam	star_map/SRR1593426.bam	star_map/SRR1593427.bam	star_map/SRR1593428.bam	star_map/SRR1593429.bam	star_map/SRR1593430.bam	star_map/SRR1593431.bam	star_map/SRR1593432.bam	star_map/SRR1593433.bam	star_map/SRR1593434.bam	star_map/SRR1593443.bam	star_map/SRR1593444.bam	star_map/SRR1593445.bam	star_map/SRR1593446.bam	star_map/SRR1593447.bam	star_map/SRR1593448.bam	star_map/SRR1593449.bam	star_map/SRR1593450.bam	star_map/SRR1593451.bam	star_map/SRR1593452.bam	star_map/SRR1593453.bam
DDB_G0279035	3	1538516	1539608	+	1093	2	0	5	19	2	3	0	0	1	30	49	1	2	3	8	12	0	2	1	4	1	10
DDB_G0279037	3;3	1539737;1540219	1540125;1540795	-;-	966	43	9	8	9	16	5	12	12	29	15	28	50	3	10	27	10	16	2	10	24	27	22
DDB_G0279039	3;3;3;3	1541061;1541420;1541861;1543802	1541323;1541736;1543681;1544303	+;+;+;+	2903	71	59	64	72	70	73	55	66	146	81	65	66	34	61	82	54	76	44	35	43	83	42
DDB_G0279041	3	1545614	1547527	+	1914	19	12	17	14	51	215	480	588	841	690	472	15	14	26	69	446	691	519	424	243	544	347
DDB_G0295473	3;3	1548383;1548637	1548528;1548649	+;+	159	1049	629	782	627	539	431	506	476	305	135	149	738	773	1135	1466	1041	374	355	329	397	323	372
DDB_G0279043	3	1548937	1549561	+	625	143	140	70	90	121	98	109	98	127	117	87	181	202	79	186	192	133	68	132	132	178	231
DDB_G0279073	3;3	1550433;1550712	1550633;1550993	+;+	483	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
DDB_G0279045	3;3;3	1551325;1551957;1552443	1551878;1552324;1553359	+;+;+	1839	273	122	176	190	221	161	128	158	373	339	202	222	139	175	251	219	170	179	204	159	246	136
DDB_G0279047	3;3;3	1553517;1553964;1554129	1553838;1554000;1554274	-;-;-	505	26	26	39	45	28	21	38	85	182	70	64	53	31	65	88	37	85	16	49	63	91	89
DDB_G0279049	3;3;3	1554608;1555220;1557203	1554962;1557088;1557763	+;+;+	2785	69	71	119	105	90	99	111	133	215	125	135	63	50	69	129	99	191	129	73	72	143	83
DDB_G0279051	3	1559805	1563341	+	3537	1	9	3	0	1	0	5	45	513	426	252	1	5	5	4	10	5	13	168	115	286	137
DDB_G0279053	3;3;3;3;3;3;3	1563754;1564589;1564766;1565019;1565410;1565815;1566172	1563905;1564659;1564915;1565316;1565712;1565981;1566831	+;+;+;+;+;+;+	1801	642	434	700	575	564	442	1015	1547	2773	1676	1323	635	650	836	1028	790	1306	2260	1440	804	1464	784
DDB_G0279057	3;3	1574903;1575158	1575063;1575170	-;-	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DDB_G0279059	3;3;3;3;3	1576705;1577002;1577202;1577567;1577748	1576929;1577063;1577491;1577643;1577995	+;+;+;+;+	902	595	218	366	401	348	214	175	133	130	93	53	409	547	321	735	479	347	124	202	191	135	106
DDB_G0279061	3;3	1578182;1578859	1578495;1578957	-;-	413	8022	5571	6217	6076	6013	5782	5922	5813	5621	3177	2196	9782	12473	10033	11347	12847	5825	3386	6232	5085	4798	3662
DDB_G0279083	3;3;3;3	1583286;1583555;1584008;1584296	1583450;1583838;1584199;1592999	+;+;+;+	9345	190	51	10	50	129	103	72	66	68	36	30	120	29	13	54	65	38	11	34	58	38	41
DDB_G0279085	3;3;3	1598641;1598896;1600273	1598796;1600176;1600700	+;+;+	1865	207	446	564	465	507	422	676	559	717	505	464	107	325	556	693	687	714	566	398	242	559	524
DDB_G0279087	3;3	1601116;1601462	1601373;1601681	-;-	478	18	12	17	19	22	11	20	19	29	9	10	41	16	30	36	16	46	51	5	20	21	8
DDB_G0279089	3;3;3	1601946;1605924;1606235	1605838;1606122;1606352	-;-;-	4210	169	208	254	254	257	177	205	189	313	313	293	128	105	128	233	225	188	171	142	121	233	187
DDB_G0279091	3;3;3;3	1608783;1608915;1609135;1610346	1608821;1609050;1610272;1613036	-;-;-;-	4004	235	287	399	487	505	471	415	420	564	359	417	8	30	105	36	66	135	712	222	106	311	165
DDB_G0279123	3;3;3	1613477;1613916;1617257	1613665;1617166;1617399	+;+;+	3583	467	584	750	684	791	697	943	1184	1624	1344	1303	393	695	621	764	915	1045	1340	846	559	1071	781
DDB_G0279093	3	1618498	1620910	+	2413	147	173	200	229	227	283	333	232	230	134	77	91	295	319	356	418	290	111	195	78	208	339
DDB_G0279081	3;3	1621363;1622472	1622238;1622540	-;-	945	6162	19180	38271	24800	18930	10654	10573	6595	6100	3428	5305	3483	25777	28961	20664	16039	12155	9734	9259	4039	9790	11425
DDB_G0279095	3;3	1624062;1624351	1624198;1624711	+;+	498	122	28	21	27	36	20	31	21	26	16	21	279	43	30	69	33	61	45	24	74	24	28
DDB_G0279099	3;3	1626022;1631890	1631814;1632847	-;-	6751	131	127	213	277	325	232	235	414	426	280	279	81	107	159	218	188	249	413	175	134	259	193
DDB_G0279101	3	1633445	1633830	-	386	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	5	0
DDB_G0279103	3	1634323	1634659	-	337	8	4	5	4	10	8	6	25	29	27	18	16	6	10	14	4	7	0	14	10	16	9
DDB_G0279105	3	1635436	1638700	+	3265	80	117	59	85	115	129	119	135	221	159	185	50	50	34	99	67	83	68	44	62	107	99
DDB_G0279107	3	1638888	1642604	-	3717	14	13	15	32	24	18	16	42	84	40	29	19	15	35	23	19	21	14	49	12	33	18
DDB_G0279109	3;3	1642949;1645667	1645527;1645898	-;-	2811	3395	2192	3181	3332	3656	3136	3199	3454	4410	2761	1779	452	1265	2265	1454	1552	2517	3891	2496	982	2070	1534
DDB_G0279111	3;3;3	1646678;1647345;1647504	1647256;1647402;1648228	+;+;+	1362	70	24	41	44	50	27	79	117	200	131	92	60	39	75	93	99	157	86	139	77	135	90
DDB_G0279113	3;3	1648404;1650601	1650471;1650762	-;-	2230	952	369	667	635	770	784	1366	1752	1946	882	613	598	581	766	988	1238	1407	791	1167	451	698	550
DDB_G0279115	3;3;3	1651481;1652389;1654045	1652274;1653881;1654895	+;+;+	3138	301	150	251	263	276	240	340	417	672	400	405	267	231	279	355	451	459	555	356	243	433	293
DDB_G0279117	3;3	1657290;1657425	1657325;1657627	+;+	239	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0279125	3;3	1657879;1658249	1658162;1658336	-;-	372	1	0	12	1	0	0	1	0	0	54	9	0	3	19	6	7	2	3	17	1	2	63
DDB_G0279119	3	1658914	1659552	-	639	27	5	14	5	2	31	50	88	53	206	253	4	4	19	5	42	123	43	135	35	116	126
DDB_G0279121	3	1659992	1660600	+	609	0	1	2	1	0	0	10	25	151	265	316	1	4	14	0	7	12	19	49	86	227	102
DDB_G0279131	3;3	1671572;1672007	1671919;1672175	-;-	517	43	10	11	23	21	11	33	54	114	77	88	85	30	40	66	32	48	10	86	76	106	95
DDB_G0279133	3	1672697	1673557	+	861	266	209	352	401	517	419	446	310	303	190	211	231	376	597	964	645	379	226	260	225	430	405
DDB_G0279135	3;3	1673721;1674310	1674171;1674678	-;-	820	0	0	1	0	0	0	1	0	0	4	0	0	0	0	2	1	0	0	0	0	0	4
DDB_G0279137	3	1675769	1677652	-	1884	1105	730	841	731	760	614	568	506	494	363	233	908	1129	882	1002	844	711	572	572	468	498	379
DDB_G0279139	3	1678929	1680135	+	1207	211	29	76	101	88	66	68	59	61	50	50	258	88	77	217	128	110	117	105	112	98	101
DDB_G0279141	3;3;3;3;3;3;3	1680228;1680228;1681196;1682760;1682760;1683292;1683292	1682663;1681159;1682663;1683115;1683115;1683459;1683459	-;-;-;-;-;-;-	2960	1366	1081	1841	1575	1702	1378	1579	1690	2381	1330	1010	1010	989	1529	1920	1638	1458	768	1278	737	1215	873
DDB_G0279143	3;3;3	1684053;1684817;1686025	1684674;1685952;1686506	+;+;+	2240	63	155	267	83	86	58	36	34	47	25	23	95	78	139	99	31	26	15	36	34	56	33
DDB_G0279145	3	1686576	1688184	-	1609	489	161	191	335	456	357	244	248	346	283	141	459	369	421	547	524	431	678	346	248	309	152
DDB_G0279149	3;3;3;3;3;3;3	1688986;1689784;1690728;1690766;1691249;1692345;1692345	1689681;1690645;1690999;1692249;1692249;1697393;1697393	+;+;+;+;+;+;+	8129	81	72	158	201	204	141	98	115	197	196	209	64	45	108	138	95	73	72	80	92	170	181
DDB_G0279151	3;3	1697579;1697927	1697803;1698176	-;-	475	48	8	13	24	40	7	23	23	39	28	16	38	13	28	62	23	19	0	10	21	46	50
DDB_G0279155	3;3;3	1698727;1699259;1699737	1699164;1699644;1700268	+;+;+	1356	96	11	11	22	35	20	32	20	28	14	14	114	15	13	61	40	27	21	20	42	26	31
DDB_G0279157	3;3;3;3;3	1701003;1702059;1702377;1704066;1705840	1701981;1702260;1703971;1705838;1705842	+;+;+;+;+	4552	154	85	243	225	272	216	227	320	492	334	249	15	12	40	35	43	90	398	159	86	161	67
DDB_G0279165	3;3	1706026;1707307	1707303;1708044	+;+	2016	211	164	415	390	433	430	387	568	782	609	408	17	34	122	71	120	234	1039	370	199	357	184
DDB_G0279159	3;3;3;3;3	1708158;1710230;1710614;1710849;1711159	1710150;1710530;1710751;1711014;1711296	-;-;-;-;-	2736	2139	1045	2393	2571	2872	2625	3148	4045	7249	5117	3684	829	965	2059	2915	2492	3075	1397	3279	1635	3313	1912
DDB_G0279163	3	1712488	1713448	-	961	63	31	26	14	5	5	6	11	6	11	2	20	28	32	37	38	25	24	10	9	9	1
DDB_G0279179	3;3	1715076;1716972	1716873;1717952	+;+	2779	244	87	266	337	462	448	316	373	530	491	438	47	54	126	105	154	218	558	297	175	336	278
DDB_G0279167	3	1718126	1722079	-	3954	79	112	156	146	146	129	156	198	354	239	291	62	73	97	144	108	121	68	135	134	222	179
DDB_G0279169	3;3;3	1722472;1724497;1725050	1724413;1724958;1725289	-;-;-	2644	307	148	314	329	395	254	192	123	178	208	247	264	217	307	391	340	211	181	172	156	281	210
DDB_G0306378	3	1725539	1726089	+	551	156	52	81	91	92	51	81	84	131	79	80	221	94	148	190	86	98	17	75	93	147	101
DDB_G0305545	3;3;3;3;3	1726391;1726428;1726692;1726961;1727158	1726426;1726607;1726887;1727067;1727571	+;+;+;+;+	933	0	5	5	3	5	3	1	0	1	0	7	0	9	3	1	0	1	4	2	3	3	2
DDB_G0279175	3;3	1727720;1727898	1727823;1728000	-;-	207	42	26	43	48	43	29	48	35	50	43	62	93	28	91	69	40	50	6	18	56	101	23
DDB_G0279181	3;3	1728219;1730314	1730076;1730367	+;+	1912	15	30	38	43	36	23	39	47	89	52	123	21	37	35	43	41	44	77	33	34	69	50
DDB_G0279183	3;3	1731077;1731371	1731241;1734720	+;+	3515	904	541	701	1071	1138	811	623	649	869	583	624	742	1085	1108	1750	1035	660	233	777	567	890	631
DDB_G0279177	3;3	1734881;1735821	1735679;1736319	+;+	1298	36	5	17	16	28	12	12	18	39	23	16	24	6	25	29	18	14	11	17	13	29	7
DDB_G0279187	3;3	1740022;1741481	1741378;1741532	+;+	1409	43485	25992	22672	16595	11556	8003	6005	5395	5815	4937	3959	5996	14786	10313	10192	7616	5945	4042	7472	4228	6433	5873
DDB_G0279203	3	1741814	1743031	-	1218	0	1	0	0	0	0	0	5	38	28	11	0	1	0	1	0	4	1	13	13	19	8
DDB_G0279195	3;3;3	1744004;1745855;1746280	1745772;1746182;1746597	-;-;-	2415	266	32	183	122	156	98	66	89	168	133	87	253	57	287	370	212	92	62	169	142	220	119
DDB_G0279205	3;3;3;3;3	1747299;1748929;1749471;1750140;1750502	1748849;1749034;1750052;1750380;1751217	-;-;-;-;-	3196	262	41	40	89	179	168	132	80	89	39	36	194	41	17	102	85	103	120	57	64	54	43
DDB_G0279387	3;3	1751676;1753011	1752218;1753020	-;-	553	24565	17012	19236	19292	19430	18862	20750	19144	14077	9996	5293	22129	50853	28161	30757	35706	39169	23618	20365	11793	11575	8214
DDB_G0295811	3;3;3;3;3;3;3;3;3	1753571;1753735;1754601;1754769;1755138;1755724;1755852;1756205;1756466	1753655;1753908;1754684;1754942;1755230;1755813;1756025;1756238;1756469	-;-;-;-;-;-;-;-;-	912	14	5	4	5	4	2	4	10	56	50	26	34	25	17	7	23	22	33	85	72	90	23
DDB_G0279185	3;3	1757075;1757336	1757200;1758600	-;-	1391	720	290	368	900	863	678	341	212	215	187	95	56	77	347	1819	1555	517	137	419	181	351	164
DDB_G0279207	3	1760512	1761002	+	491	16919	11827	14017	13687	13521	13102	15521	15430	13169	8112	4945	9642	18846	17174	15625	18338	23499	31498	16537	7430	9614	7593
DDB_G0279209	3;3;3	1761247;1761576;1761862	1761462;1761740;1761924	-;-;-	444	26	30	42	34	52	40	85	122	231	111	130	38	45	78	118	94	86	23	105	81	117	107
DDB_G0279211	3;3	1762661;1765181	1765080;1765351	-;-	2591	15	8	22	28	35	31	30	32	77	58	43	9	12	13	73	40	18	34	41	24	62	13
DDB_G0279189	3;3;3	1766384;1766872;1767384	1766804;1767094;1767471	-;-;-	732	18352	12710	15918	15594	15757	14155	16716	17783	16461	9792	6021	15300	29387	23844	24825	25276	24196	19374	19103	10402	11514	8887
DDB_G0279213	3;3;3;3;3;3;3	1768151;1768412;1768876;1769203;1769463;1769788;1770915	1768281;1768483;1769090;1769341;1769691;1770826;1771080	+;+;+;+;+;+;+	1991	111	78	123	160	157	127	137	112	259	180	181	105	115	181	302	203	149	157	151	122	226	114
DDB_G0279219	3;3	1779089;1779239	1779152;1780986	+;+	1812	56	13	11	26	28	32	19	29	24	20	28	35	20	24	50	44	23	12	16	9	26	12
DDB_G0279221	3;3	1781444;1781582	1781475;1781813	+;+	264	61	7	5	4	7	7	9	6	11	5	0	71	29	12	19	25	10	9	11	32	11	8
DDB_G0279193	3;3	1783778;1784241	1784125;1789076	+;+	5184	3090	2948	3561	4628	5748	5509	4611	5582	8704	6056	7006	211	397	1331	953	1129	1591	2317	2889	1236	3828	2707
DDB_G0279223	3;3	1790046;1790511	1790409;1790778	+;+	632	56	26	45	42	39	38	52	91	143	89	72	43	50	64	63	66	104	298	90	70	90	59
DDB_G0279225	3;3;3	1791010;1791478;1792054	1791324;1791927;1793454	-;-;-	2166	71	35	100	105	121	108	218	294	512	355	382	29	25	116	142	152	172	165	197	129	322	250
DDB_G0279227	3;3;3	1794347;1794926;1795406	1794474;1795285;1795747	+;+;+	830	259	75	64	78	89	82	84	104	117	80	63	261	97	105	195	114	71	10	72	108	126	85
DDB_G0279229	3;3	1796021;1796494	1796393;1796913	-;-	793	208	59	129	165	177	118	92	72	132	52	50	310	139	285	376	150	82	11	88	143	147	115
DDB_G0279231	3;3;3	1797887;1798431;1798780	1798318;1798682;1799167	+;+;+	1072	20	15	18	14	29	22	29	32	65	50	38	25	18	32	43	23	24	6	46	26	54	49
DDB_G0279237	3	1809065	1811995	+	2931	50	4	1	9	10	6	8	10	6	6	2	25	5	4	11	5	4	2	8	7	1	0
DDB_G0279239	3;3	1813457;1813680	1813591;1814489	+;+	945	0	1	2	1	0	1	0	2	1	1	3	0	0	3	0	3	5	3	0	0	0	2
DDB_G0279241	3;3;3;3;3;3	1814775;1815573;1816251;1816480;1816794;1817026	1815407;1816089;1816372;1816701;1816949;1818189	-;-;-;-;-;-	2814	51	45	151	93	134	90	200	527	1133	814	774	10	36	87	108	77	240	123	408	257	764	594
DDB_G0279243	3;3	1820683;1822249	1822071;1822454	-;-	1595	2	0	2	1	0	1	1	14	235	366	113	1	1	2	1	5	3	3	40	40	152	25
DDB_G0279245	3;3;3	1824604;1826181;1826475	1826085;1826369;1827101	+;+;+	2298	290	41	9	65	104	112	107	153	210	102	186	191	49	19	120	114	318	263	224	138	192	173
DDB_G0279247	3;3;3;3	1829975;1830093;1830410;1830410	1830049;1830154;1831242;1831242	+;+;+;+	970	5	5	3	1	3	11	112	426	505	307	222	3	2	3	8	26	226	41	108	80	427	228
DDB_G0279249	3	1832140	1833102	+	963	0	1	0	0	0	0	1	5	45	19	14	0	1	0	0	0	4	12	4	6	23	11
DDB_G0279251	3;3	1833200;1834703	1834614;1837979	-;-	4692	63	20	49	47	49	76	64	87	157	115	116	31	12	47	41	50	59	82	40	60	82	63
DDB_G0279253	3;3	1838219;1839899	1839805;1839936	-;-	1625	6	1	4	2	5	5	2	7	19	14	9	7	5	5	3	8	5	4	7	13	14	5
DDB_G0279255	3;3	1840129;1840553	1840430;1845388	-;-	5138	106	140	202	172	220	194	172	191	273	124	129	77	69	125	143	127	146	188	107	71	128	94
DDB_G0279257	3	1846173	1847156	-	984	3	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1
DDB_G0279259	3	1848643	1851170	+	2528	39	4	1	17	21	26	21	19	20	5	13	38	7	2	24	17	13	3	15	7	12	13
DDB_G0279393	3;3	1851382;1851874	1851789;1852704	-;-	1239	2	22	27	19	27	73	113	76	70	34	35	3	9	47	65	112	170	21	13	25	78	61
DDB_G0279395	3;3	1853231;1854029	1853956;1854651	-;-	1349	18	17	25	18	36	11	26	39	65	52	42	19	21	33	50	38	42	12	53	31	61	61
DDB_G0279261	3	1855053	1856965	+	1913	35	3	11	19	17	10	9	10	14	10	7	23	6	11	13	8	11	10	4	10	19	10
DDB_G0279263	3;3;3	1857138;1857473;1859310	1857379;1859193;1859585	-;-;-	2239	108	56	98	100	125	104	111	112	199	146	120	78	72	100	182	180	113	133	106	60	186	95
DDB_G0279265	3;3;3	1859861;1860263;1860584	1860145;1860501;1860857	-;-;-	798	52	25	41	47	38	34	82	110	175	81	78	72	55	70	83	79	121	58	123	69	112	63
DDB_G0279267	3;3;3	1861211;1864870;1865782	1864755;1865485;1866033	-;-;-	4413	73	52	85	95	105	92	133	481	2245	1502	1131	47	34	90	123	141	259	467	908	436	869	587
DDB_G0279271	3;3;3;3	1870622;1871003;1871259;1871683	1870919;1871154;1871592;1872120	+;+;+;+	1222	49	28	36	51	54	40	36	32	86	84	106	31	31	66	90	35	19	7	54	50	133	122
DDB_G0279275	3;3	1874332;1874770	1874601;1876210	+;+	1711	22	21	2	2	0	2	4	3	3	7	6	23	28	3	13	6	4	4	1	10	4	11
DDB_G0279277	3;3	1876653;1876986	1876855;1877879	+;+	1097	129	60	56	95	72	66	75	132	240	107	75	148	61	112	166	75	140	66	94	87	157	84
DDB_G0279279	3;3	1878040;1878272	1878198;1879323	+;+	1211	64	18	53	43	48	26	69	94	184	118	111	52	47	50	70	71	63	56	127	83	179	131
DDB_G0279281	3;3;3	1879436;1881371;1881823	1881264;1881721;1882170	-;-;-	2528	117	58	107	90	127	74	279	482	882	548	456	93	70	140	140	206	461	736	539	292	450	261
DDB_G0279285	3;3;3;3	1882431;1882691;1883065;1884184	1882584;1882973;1883959;1884616	+;+;+;+	1765	190	108	219	186	230	174	427	685	1213	689	581	131	110	200	297	296	574	716	507	263	558	326
DDB_G0279397	3;3;3;3;3;3;3;3	1884785;1884785;1885049;1885049;1890886;1890886;1891293;1891293	1884937;1884937;1890781;1890781;1891116;1891069;1891522;1891522	-;-;-;-;-;-;-;-	6347	71	28	87	90	99	69	27	23	34	34	53	36	28	69	83	59	30	39	24	34	53	21
DDB_G0279287	3;3	1892272;1892726	1892619;1893811	+;+	1434	1541	289	143	211	297	239	252	252	341	243	325	890	354	210	432	291	156	109	299	366	384	450
DDB_G0279289	3;3;3;3	1893924;1894372;1894669;1894997	1894239;1894563;1894857;1895114	-;-;-;-	815	80	20	18	29	25	18	30	77	343	162	78	104	31	69	69	23	26	3	95	110	114	47
DDB_G0279291	3;3	1895333;1896788	1896685;1896911	+;+	1477	2710	1239	1170	1083	1174	955	1005	2041	5309	4243	2234	2500	1684	1548	2008	1611	1587	1026	2904	1781	2057	1019
DDB_G0279293	3;3	1897152;1897480	1897387;1897492	-;-	249	0	3	3	3	3	0	0	0	7	2	4	0	4	1	0	1	0	6	0	0	0	0
DDB_G0279295	3;3	1898671;1898998	1898900;1899010	-;-	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0279297	3;3	1899385;1899490	1899397;1899734	+;+	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0279301	3;3;3;3	1901303;1901945;1902486;1902739	1901846;1902342;1902645;1904085	+;+;+;+	2449	249	272	305	321	304	211	193	177	240	222	220	146	322	258	399	290	230	154	144	125	269	155
DDB_G0279303	3;3;3	1904567;1904865;1905500	1904758;1905399;1906534	+;+;+	1762	227	60	161	152	110	78	92	152	261	237	238	76	107	163	265	190	189	354	209	121	294	170
DDB_G0279305	3;3	1907410;1907782	1907649;1908201	+;+	660	0	0	0	0	0	0	0	1	8	3	15	0	0	0	0	0	2	0	0	5	5	4
DDB_G0279191_DDB_G0279307	3;3	1908641;1911423	1908839;1913043	+;+	1820	203	895	111	201	212	102	133	131	150	143	105	94	1765	347	547	275	150	87	199	110	157	86
DDB_G0279309	3;3	1913378;1916393	1916268;1917210	-;-	3709	1737	1254	1934	2034	2276	2205	2534	3367	4868	4042	3723	144	470	996	508	801	1429	5255	2394	1138	2961	1700
DDB_G0279311	3;3;3	1918418;1918844;1920414	1918744;1920284;1921048	-;-;-	2403	234	108	158	219	260	214	209	240	454	357	244	212	124	182	318	283	292	262	243	149	316	223
DDB_G0279313	3;3;3	1921628;1922113;1924630	1921914;1924520;1925073	+;+;+	3139	165	96	106	156	183	175	165	205	303	263	189	147	85	115	178	142	124	93	112	116	138	84
DDB_G0279315	3;3;3;3	1925209;1926511;1926710;1927221	1926032;1926601;1927135;1927715	-;-;-;-	1836	8	162	111	41	68	63	130	174	291	130	130	21	254	163	169	176	186	224	137	82	266	261
DDB_G0279317	3	1928570	1930763	-	2194	155	125	182	178	179	106	131	105	216	120	110	147	104	139	220	135	105	103	143	105	125	94
DDB_G0279319	3;3	1931110;1931327	1931184;1932313	+;+	1062	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0
DDB_G0279321	3;3;3	1932547;1932820;1933583	1932754;1933489;1934192	+;+;+	1488	247	31	10	39	71	79	76	61	62	36	25	118	27	8	54	80	100	156	63	63	52	43
DDB_G0279323	3	1934535	1936274	+	1740	39	25	36	31	36	24	17	35	51	27	31	34	25	33	39	29	41	57	35	36	44	20
DDB_G0279325	3;3;3;3	1936636;1936818;1937258;1937668	1936727;1937147;1937578;1941278	+;+;+;+	4354	41	176	121	160	146	116	58	56	57	49	30	34	90	139	115	82	33	34	27	26	45	20
DDB_G0279327	3;3	1941531;1944580	1944478;1945051	-;-	3420	306	125	96	236	360	248	178	128	168	111	129	215	93	112	280	206	153	107	104	120	134	109
DDB_G0279329	3;3;3;3	1945987;1946949;1949000;1949406	1946858;1948899;1949306;1950187	+;+;+;+	3912	44	252	139	112	62	44	43	32	50	21	26	40	102	97	104	54	45	36	18	22	56	31
DDB_G0279331	3;3	1950418;1951118	1951008;1951240	-;-	714	6	6	14	5	9	4	7	9	3	8	13	4	3	1	7	8	5	20	8	10	15	13
DDB_G0279335	3;3	1951785;1952249	1952165;1953986	+;+	2119	64	33	61	73	84	47	49	62	103	56	60	67	30	71	84	75	40	29	54	53	85	56
DDB_G0279337	3	1954666	1955838	+	1173	2	126	49	54	4	10	80	1504	11438	30862	13281	8	122	121	57	116	350	11400	12787	9260	20783	7543
DDB_G0279339	3;3	1955429;1956400	1956294;1957144	-;-	1611	1	36	13	11	3	1	18	382	3498	7511	3702	1	38	42	18	35	99	2473	3465	3184	6230	2328
DDB_G0279341	3;3;3	1957657;1957767;1958694	1957659;1958512;1959219	+;+;+	1275	2	0	0	0	0	0	0	1	0	0	0	0	0	2	4	0	0	0	0	1	2	0
DDB_G0279343	3;3;3;3;3	1959552;1959781;1960174;1960395;1960668	1959689;1960065;1960269;1960533;1961192	-;-;-;-;-	1183	119	21	83	76	58	14	15	24	46	58	30	189	3	167	151	58	43	64	71	82	78	30
DDB_G0279345	3;3;3;3;3;3;3;3;3;3;3;3	1961514;1961514;1962704;1962704;1963065;1963065;1963413;1963413;1963804;1963834;1964197;1964197	1962570;1962570;1962968;1962968;1963218;1963218;1963568;1963568;1963995;1963995;1964506;1964506	-;-;-;-;-;-;-;-;-;-;-;-	2134	131	277	196	162	120	130	208	286	494	344	343	119	249	171	246	233	375	321	228	147	363	213
DDB_G0279347	3	1965450	1969859	+	4410	87	64	94	89	94	61	48	52	64	40	50	44	34	49	74	77	62	63	27	39	58	33
DDB_G0279403	3;3	1970466;1970655	1970549;1971995	+;+	1425	2024	591	774	1205	1151	606	450	399	367	298	184	473	922	698	970	688	667	824	562	334	470	277
DDB_G0279349	3;3;3;3;3;3	1972184;1972658;1972899;1973448;1974083;1974387	1972537;1972817;1973365;1973991;1974288;1974684	+;+;+;+;+;+	2029	26	25	25	42	47	35	40	62	149	95	59	57	21	47	78	53	68	15	39	41	105	54
DDB_G0279351	3	1974768	1975256	-	489	30	31	75	78	113	88	99	107	124	65	78	43	113	127	204	205	203	169	116	67	104	79
DDB_G0279405	3;3	1975782;1976583	1976493;1977989	+;+	2119	300	205	255	343	345	437	549	644	957	908	977	148	201	294	415	442	663	756	545	417	953	687
DDB_G0279353	3;3;3;3;3;3;3	1978760;1978760;1979023;1979023;1979967;1979967;1980489	1978928;1978928;1979874;1979874;1980399;1980078;1980640	+;+;+;+;+;+;+	1606	3	0	7	0	0	0	1	2	0	32	0	0	0	7	0	2	0	0	7	0	0	14
DDB_G0279355	3;3;3;3	1981638;1981858;1982811;1983385	1981758;1982708;1982922;1983473	+;+;+;+	1173	1	0	0	2	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0
DDB_G0279357	3	1983573	1984705	-	1133	97	31	34	32	46	34	36	17	37	27	12	90	53	42	85	47	37	12	22	38	40	35
DDB_G0279359	3;3	1984962;1985377	1985277;1985702	+;+	642	15	4	4	10	10	6	5	7	13	4	4	25	6	8	17	5	6	1	8	15	14	13
DDB_G0279361	3	1986517	1987341	+	825	4	6	23	14	6	4	1	3	10	55	28	3	0	17	8	3	7	8	16	5	9	31
DDB_G0279363	3;3	1987447;1987823	1987670;1988114	-;-	516	4	2	13	5	3	3	9	56	146	170	142	8	0	12	18	10	30	11	81	62	131	133
DDB_G0279365	3;3;3;3;3	1988545;1988808;1991211;1991696;1992200	1988730;1991105;1991597;1992085;1992483	-;-;-;-;-	3545	117	206	147	151	154	89	65	49	87	88	65	74	114	115	109	88	42	22	48	49	85	67
DDB_G0279367	3;3;3	1993491;1993712;1994521	1993620;1994419;1995220	-;-;-	1538	104	133	144	144	150	132	154	244	327	258	277	61	92	146	162	174	148	119	155	110	213	148
