# Program:featureCounts v2.0.0; Command:featureCounts -a reference/D_discoideum_PASAua.gtf -o featureCounts/counts.txt -s 2 -T 4 merged_mapped/SI-2309-FS146-0h-h.bam merged_mapped/SI-2309-FS146-0h-i.bam merged_mapped/SI-2309-FS146-0h-j.bam merged_mapped/SI-2309-FS146-0h-k.bam merged_mapped/SI-2309-FS146-10h-h.bam merged_mapped/SI-2309-FS146-10h-i.bam merged_mapped/SI-2309-FS146-10h-j.bam merged_mapped/SI-2309-FS146-10h-k.bam merged_mapped/SI-2309-FS146-2h-h.bam merged_mapped/SI-2309-FS146-2h-i.bam merged_mapped/SI-2309-FS146-2h-j.bam merged_mapped/SI-2309-FS146-2h-k.bam merged_mapped/SI-2309-FS146-4h-h.bam merged_mapped/SI-2309-FS146-4h-i.bam merged_mapped/SI-2309-FS146-4h-j.bam merged_mapped/SI-2309-FS146-4h-k.bam merged_mapped/SI-2309-FS146-6h-h.bam merged_mapped/SI-2309-FS146-6h-i.bam merged_mapped/SI-2309-FS146-6h-j.bam merged_mapped/SI-2309-FS146-6h-k.bam merged_mapped/SI-2309-FS146-8h-h.bam merged_mapped/SI-2309-FS146-8h-i.bam merged_mapped/SI-2309-FS146-8h-j.bam merged_mapped/SI-2309-FS146-8h-k.bam																													
Geneid	Chr	Start	End	Strand	Length	merged_mapped/SI-2309-FS146-0h-h.bam	merged_mapped/SI-2309-FS146-0h-i.bam	merged_mapped/SI-2309-FS146-0h-j.bam	merged_mapped/SI-2309-FS146-0h-k.bam	merged_mapped/SI-2309-FS146-10h-h.bam	merged_mapped/SI-2309-FS146-10h-i.bam	merged_mapped/SI-2309-FS146-10h-j.bam	merged_mapped/SI-2309-FS146-10h-k.bam	merged_mapped/SI-2309-FS146-2h-h.bam	merged_mapped/SI-2309-FS146-2h-i.bam	merged_mapped/SI-2309-FS146-2h-j.bam	merged_mapped/SI-2309-FS146-2h-k.bam	merged_mapped/SI-2309-FS146-4h-h.bam	merged_mapped/SI-2309-FS146-4h-i.bam	merged_mapped/SI-2309-FS146-4h-j.bam	merged_mapped/SI-2309-FS146-4h-k.bam	merged_mapped/SI-2309-FS146-6h-h.bam	merged_mapped/SI-2309-FS146-6h-i.bam	merged_mapped/SI-2309-FS146-6h-j.bam	merged_mapped/SI-2309-FS146-6h-k.bam	merged_mapped/SI-2309-FS146-8h-h.bam	merged_mapped/SI-2309-FS146-8h-i.bam	merged_mapped/SI-2309-FS146-8h-j.bam	merged_mapped/SI-2309-FS146-8h-k.bam
DDB_G0284029	4;4;4	1459718;1460627;1461909	1460471;1461822;1462937	-;-;-	2979	495	906	831	926	1429	1000	906	808	1049	858	307	334	1027	338	649	517	1272	541	726	753	2400	539	593	849
DDB_G0284049	4;4	1467408;1467810	1467633;1471225	+;+	3642	38	173	128	153	3160	411	1839	1843	77	124	28	51	86	11	29	61	154	17	105	64	603	902	333	877
DDB_G0284051	4;4	1471883;1472216	1472118;1473605	+;+	1626	1122	1584	1522	1406	1342	2767	1693	853	6715	4072	2548	1453	1233	449	1518	953	2006	2461	1314	1486	2959	817	1607	1642
DDB_G0284053	4;4	1473938;1474182	1474049;1474820	+;+	751	181	248	419	421	226	272	210	123	202	142	124	62	179	88	452	222	440	429	363	223	438	125	439	361
DDB_G0284055	4;4;4	1474815;1475604;1476079	1475521;1475934;1476375	-;-;-	1335	1055	1414	1560	1925	625	1354	414	334	568	486	101	69	564	292	727	398	1050	1101	1168	635	1119	236	481	635
DDB_G0284057	4	1478033	1478404	+	372	11	15	13	7	808	171	329	244	16	25	54	11	187	63	103	48	586	47	87	259	818	316	342	471
DDB_G0284059	4;4	1478818;1480639	1480451;1482872	+;+	3868	725	1105	1190	1302	237	166	285	180	623	607	187	232	406	204	152	267	270	155	287	259	163	174	91	117
DDB_G0284061	4;4	1483720;1484089	1483952;1484774	+;+	919	0	0	0	0	3264	3385	1234	1353	1	3	2	0	3	3	0	2	29	2	5	25	6856	729	1366	3149
DDB_G0284063	4;4;4	1485698;1485958;1486287	1485858;1486142;1486784	+;+;+	844	19	13	12	7	3635	1351	1393	1254	12	12	15	3	119	33	55	27	461	69	55	207	2575	365	972	1459
DDB_G0284141	4;4;4;4;4;4	1486936;1486936;1489363;1489363;1489904;1490032	1489256;1489256;1489768;1489674;1490194;1490194	-;-;-;-;-;-	3018	3786	5929	4524	4688	1357	3089	1247	683	8160	6105	934	1862	2713	1449	2263	1637	3054	3347	2790	2996	2774	945	900	1613
DDB_G0284065	4;4;4	1493273;1494276;1494579	1494118;1494388;1494924	-;-;-	1305	3491	3904	3410	4075	9689	5851	5632	6079	4531	4968	3164	2861	7431	1985	1936	2825	6094	2167	4269	4306	7541	5263	4851	7733
DDB_G0284067	4	1497334	1498496	+	1163	866	1068	1556	1540	1156	1910	627	669	2552	1818	993	525	2497	843	1986	1234	3797	2105	1682	2374	4307	768	1234	2318
DDB_G0284069	4;4	1498595;1499851	1499782;1499948	-;-	1286	29	43	70	94	40	107	63	22	48	36	24	4	50	12	55	31	91	111	93	46	87	38	59	89
DDB_G0284041	4;4;4;4;4	1500251;1501083;1501487;1501703;1502037	1501004;1501334;1501590;1501852;1502202	-;-;-;-;-	1426	11022	12750	12332	11430	2300	6569	1717	1968	14043	11010	3908	2534	6125	2642	4329	3442	6988	6862	4882	5177	6129	748	2231	4018
DDB_G0284071	4;4	1503478;1503688	1503596;1506219	+;+	2651	3662	7173	8602	10368	23059	10427	15422	14840	2739	2718	1139	1754	6123	2009	808	2370	5969	3910	5336	3108	6615	6909	3063	6859
DDB_G0284073	4;4;4;4	1506777;1507259;1507895;1508200	1507174;1507804;1508114;1509710	+;+;+;+	2675	249	224	158	147	13	64	37	20	375	248	94	47	118	33	66	41	65	80	48	44	14	11	22	21
DDB_G0284045	4	1509861	1520159	-	10299	75	252	160	199	561	344	253	190	109	108	13	19	82	86	44	31	274	103	124	273	580	221	113	242
DDB_G0284043	4;4	1521541;1521911	1521774;1523257	+;+	1581	10159	9956	8095	7831	2405	7647	3915	2921	11341	8904	11293	3398	13990	4449	6809	6139	9846	9259	7225	5761	4944	2064	4327	4738
DDB_G0284145	4;4	1523365;1524817	1524672;1524848	-;-	1340	209	222	243	283	16	59	40	7	186	141	44	26	109	46	170	53	99	114	82	55	48	14	18	35
DDB_G0284075	4;4	1525651;1526121	1526007;1529993	+;+	4230	733	1389	1033	1455	348	255	420	226	468	558	127	319	569	249	231	386	364	171	771	305	223	304	170	199
DDB_G0284077	4;4;4	1530945;1531228;1532223	1531151;1532109;1532422	+;+;+	1289	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDB_G0284147	4;4	1532512;1533221	1533138;1533541	-;-	948	6	1	3	5	163	118	89	79	29	24	9	4	23	6	27	21	67	32	25	19	117	21	34	73
DDB_G0284149	4;4;4;4;4	1533705;1533916;1534456;1534669;1535573	1533819;1534316;1534576;1534726;1535576	-;-;-;-;-	699	418	344	318	315	694	886	434	446	1904	1221	1055	503	801	284	1056	644	1157	943	608	608	1419	199	894	975
DDB_G0284035	4;4	1535568;1535884	1535729;1536559	+;+	838	16737	38350	21759	26013	21142	6114	6448	11680	31593	35017	8098	27980	13686	3753	8343	14017	10345	4448	10060	4155	6719	5458	11148	8240
DDB_G0284151	4;4	1536739;1537251	1537111;1537888	+;+	1011	128	170	139	164	267	268	133	141	462	306	170	63	375	95	203	137	950	282	196	381	389	116	232	202
DDB_G0284079	4;4	1538263;1539260	1539134;1539465	+;+	1078	812	733	669	587	195	506	210	166	3828	2275	1490	767	726	255	415	458	2227	1264	760	1348	601	179	420	569
DDB_G0284047	4;4;4	1542423;1542966;1544543	1542686;1544359;1544835	-;-;-	1951	5163	11750	8644	8356	9931	3008	12055	7643	6593	7774	6688	10276	3045	682	3979	7108	3593	1302	4148	1327	3133	10015	7890	8863
DDB_G0284153	4;4;4	1545923;1546351;1547478	1546228;1547391;1547930	-;-;-	1800	118	158	145	106	110	52	61	32	106	100	33	30	46	11	33	35	48	19	42	29	53	75	25	50
DDB_G0284083	4	1548147	1549203	+	1057	56	54	41	34	115	78	45	51	143	88	98	32	70	23	94	71	76	51	37	36	161	22	103	80
DDB_G0284085	4	1549462	1550559	+	1098	5	12	9	6	28	50	17	14	25	41	20	3	14	9	25	10	31	15	22	13	52	11	22	37
DDB_G0284087	4	1550786	1554172	+	3387	76	79	110	210	79	158	106	50	135	135	62	44	160	70	176	148	231	205	291	221	74	66	59	72
DDB_G0284089	4;4	1554448;1555575	1555488;1556065	-;-	1532	675	735	700	600	126	290	156	125	2892	2093	1168	396	3229	796	1535	1097	2246	998	779	1245	366	206	263	349
DDB_G0284091	4	1556650	1557428	-	779	1809	2282	2531	2199	11991	10214	3793	4105	3099	2177	1107	484	3563	1599	2370	1308	11930	5511	3666	5541	37637	3414	8233	13895
DDB_G0284093	4;4	1558340;1558903	1558414;1559376	+;+	549	79896	75237	50150	52010	25916	15152	13699	14512	28095	41810	122903	45882	82529	25324	13373	19681	50977	22677	34386	23671	15739	17301	34078	20705
DDB_G0284095	4;4	1559578;1560168	1559986;1560556	-;-	798	1	1	0	1	348	188	137	93	2	0	1	14	27	9	21	25	884	95	158	561	1290	418	758	975
DDB_G0284155	4;4;4	1561811;1562240;1562585	1562131;1562489;1565451	+;+;+	3438	804	846	736	864	468	227	244	230	196	190	112	114	380	198	288	167	376	193	427	349	521	179	229	260
DDB_G0284097	4;4	1565830;1568034	1567721;1568243	-;-	2102	2713	8617	6652	7054	4977	2239	3663	3117	10641	12088	361	6709	6399	852	2156	6499	4459	1206	4328	1717	3269	4175	926	3393
DDB_G0284099	4	1569018	1570515	-	1498	575	652	612	617	918	1378	729	760	1857	1484	603	306	1697	605	1261	859	1791	1014	1016	1017	1801	300	368	834
DDB_G0284101	4;4;4	1571222;1571742;1572209	1571514;1572077;1572506	+;+;+	927	405	410	323	324	273	231	126	159	475	369	221	148	487	204	169	198	423	221	316	342	370	74	129	179
DDB_G0284103	4	1573183	1575363	-	2181	2146	4044	2231	2321	1382	631	1029	849	3930	4324	444	2478	1634	327	446	1525	1577	355	1092	604	538	956	410	1124
DDB_G0284105	4;4;4;4;4	1580513;1581219;1581472;1581910;1582132	1580895;1581376;1581807;1582037;1582704	-;-;-;-;-	1578	553	623	567	566	290	562	247	256	352	209	110	48	314	111	330	184	487	417	473	311	567	108	243	402
DDB_G0284157	4;4;4	1583278;1583995;1584572	1583883;1584490;1586985	+;+;+	3516	913	1198	838	911	1421	1262	1101	699	1760	1547	459	872	1005	430	563	572	1095	524	907	743	1512	778	639	1264
DDB_G0284107	4	1589376	1592573	-	3198	189	477	306	490	336	317	160	115	400	385	51	46	224	135	156	74	289	147	155	278	539	129	76	217
DDB_G0284037	4;4;4	1593040;1593360;1593627	1593239;1593534;1595414	+;+;+	2163	444	989	863	841	1656	536	855	710	1002	1298	347	590	870	254	597	659	857	301	724	370	1200	863	834	871
DDB_G0284039	4;4;4	1595560;1596309;1596618	1596236;1596505;1596867	-;-;-	1124	650	721	702	779	748	837	520	448	1225	977	363	219	1122	371	1645	699	1564	996	921	745	1545	378	722	1009
DDB_G0284161	4;4;4	1597242;1597606;1597805	1597511;1597676;1597838	+;+;+	375	372	364	495	418	276	218	318	118	291	199	271	80	218	86	431	180	328	260	285	165	479	210	503	381
DDB_G0284163	4;4	1598186;1598274	1598198;1598452	+;+	192	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
DDB_G0284109	4;4	1599348;1599639	1599388;1600119	+;+	522	731	646	473	341	3355	1011	2059	2520	876	816	1278	248	1083	366	1487	500	899	795	630	236	1219	364	844	587
DDB_G0284111	4	1601233	1601607	+	375	1729	1539	1232	1152	147	127	154	90	192	211	393	80	1147	582	4315	642	1920	1806	1084	315	409	191	663	252
DDB_G0284165_DDB_G0349530	4;4;4;4	1603304;1605472;1606159;1606461	1605376;1605836;1606324;1606472	-;-;-;-	2616	1260	4752	2689	2904	1898	618	810	753	3702	4107	331	1712	1114	190	235	519	915	221	667	431	962	729	520	946
DDB_G0284115	4;4	1607818;1608425	1608267;1608552	+;+	578	766	874	870	728	1392	458	586	572	439	353	455	166	559	255	302	250	635	404	328	254	756	211	442	515
DDB_G0284117	4;4;4	1608826;1609118;1609655	1608985;1609539;1609984	+;+;+	912	7985	9387	10020	8682	1972	3783	1706	1167	6571	5996	4577	1465	10279	3484	7951	3743	10887	9942	6682	4867	7225	1611	3501	4639
DDB_G0284167	4;4	1610122;1611331	1610882;1611499	-;-	930	8522	24670	14878	16731	12104	4833	4123	7880	16070	17845	543	12947	8585	1815	4607	6283	6701	3103	8171	2485	5205	2123	3504	6136
DDB_G0284169	4;4	1612585;1612904	1612818;1613308	-;-	639	11385	11766	12443	11856	6116	7185	5795	4378	121224	81732	87269	27065	21759	7115	11046	8965	17046	11892	7448	7373	8930	3956	7431	8181
DDB_G0284119	4;4	1614014;1614699	1614627;1614774	-;-	690	5	4	7	11	7	11	10	6	80	56	13	15	38	15	27	27	26	35	24	41	12	4	14	16
DDB_G0284121	4;4;4;4;4;4	1615547;1615808;1616126;1616356;1616756;1617026	1615681;1616032;1616247;1616554;1616916;1617128	-;-;-;-;-;-	945	75	38	30	43	48	107	67	45	1691	1301	970	330	178	52	134	118	83	86	47	49	77	25	46	77
DDB_G0284125	4	1617775	1618926	-	1152	130	238	177	208	910	381	538	571	322	315	169	155	155	26	213	218	266	115	149	92	617	409	427	525
DDB_G0284127	4;4	1619168;1620421	1620319;1620694	+;+	1426	254	292	293	345	361	410	170	197	314	237	106	66	259	124	116	121	459	185	258	414	440	145	64	213
DDB_G0284129	4;4	1622284;1624004	1623932;1624946	+;+	2592	64	154	151	154	1069	477	597	678	418	373	100	127	242	75	125	162	249	147	219	126	613	228	149	316
DDB_G0284131	4	1625572	1627560	+	1989	9	6	3	4	8	14	7	4	12	2	7	0	8	4	7	5	10	3	5	6	36	4	11	20
DDB_G0284133	4;4;4;4;4;4;4	1629200;1629324;1629419;1629690;1629690;1630244;1630244	1629285;1629595;1629595;1630066;1630066;1632993;1632993	+;+;+;+;+;+;+	3485	2569	6066	5213	5212	3887	890	2805	2378	1831	2713	433	1601	5272	1067	2942	3961	3288	966	4260	1191	1324	2788	1156	2159
DDB_G0284135	4;4	1634829;1635015	1634864;1637769	+;+	2791	333	624	516	574	1444	977	1108	555	103	116	47	95	168	70	226	214	366	279	446	174	476	403	299	362
DDB_G0284137	4	1638105	1639565	-	1461	776	1216	755	458	245	98	94	165	158	110	80	21	171	47	78	54	339	69	128	245	213	73	140	236
DDB_G0284139	4	1640029	1641798	-	1770	178	252	240	238	331	394	220	174	495	374	263	107	347	136	391	177	405	221	230	287	654	166	227	340
DDB_G0284179	4	1643184	1645262	-	2079	3	3	1	3	0	3	3	4	4	3	0	0	7	0	1	1	3	0	1	4	5	3	2	2
DDB_G0284171	4;4;4	1645755;1650236;1650608	1650148;1650463;1651739	-;-;-	5754	563	1490	1432	1643	1197	697	843	759	2054	1979	638	791	1301	508	723	710	1346	483	769	988	1662	621	702	968
DDB_G0284173	4;4	1652572;1653321	1653221;1653511	-;-	841	42	38	61	77	62	102	49	26	23	23	3	5	53	31	108	53	105	80	119	69	65	31	41	54
DDB_G0284175	4;4;4	1653643;1654125;1654423	1654029;1654319;1656680	+;+;+	2840	168	272	262	238	201	210	148	109	346	292	110	73	205	103	143	133	251	109	198	150	279	86	97	181
DDB_G0284177	4;4;4;4	1658818;1659066;1659378;1659717	1658985;1659246;1659636;1662279	+;+;+;+	3171	423	680	595	693	2802	3032	1556	1710	2353	2002	770	780	5086	1895	1133	1472	5739	2278	2712	5447	4628	1493	1123	2248
DDB_G0284189	4	1669240	1670316	+	1077	2	57	2	2	11	57	3	2	16	145	7	7	1	8	1	6	2	10	1	0	9	131	3	10
DDB_G0284191	4	1670895	1673099	+	2205	14	26	30	28	34	12	28	2	4	3	5	5	6	1	1	3	6	3	3	2	7	4	10	5
DDB_G0284195	4;4;4	1676837;1677533;1679361	1677418;1679261;1679615	-;-;-	2566	273	440	315	322	927	1014	539	480	466	335	115	99	408	168	117	126	399	319	255	261	574	199	181	285
DDB_G0284197	4	1680083	1681774	+	1692	2435	6377	4310	4616	3906	1481	2803	1299	2360	2750	646	1770	830	155	781	1357	1144	320	1130	433	1517	2653	3158	2770
DDB_G0284199	4;4;4;4	1682534;1682730;1682973;1683385	1682629;1682802;1683211;1683677	-;-;-;-	701	38	40	17	26	1710	354	495	537	114	53	90	23	51	22	43	15	76	32	23	33	333	35	119	165
DDB_G0284201	4;4	1684831;1685133	1685001;1685459	+;+	498	4273	4407	4353	3354	7695	3699	3499	2910	5715	4242	3857	1301	7866	2875	9703	3920	10223	4133	4405	4213	11998	2875	6074	6094
DDB_G0284203	4;4	1685557;1686491	1686423;1687044	-;-	1421	2003	2490	2487	2546	725	792	554	494	221	206	292	131	649	215	195	272	611	736	758	432	510	274	368	425
DDB_G0284205	4;4;4;4	1687350;1687578;1687718;1687896	1687450;1687595;1687821;1688013	-;-;-;-	341	636	680	752	565	2247	812	1082	825	871	605	712	233	1220	367	1396	704	1525	707	670	604	2808	759	1588	1632
DDB_G0284207	4;4;4	1688943;1689129;1689517	1688988;1689431;1690025	+;+;+	858	4	5	3	5	6	9	4	1	3	4	4	0	4	0	0	1	12	4	1	6	16	4	12	15
DDB_G0284209	4;4	1690478;1691380	1691286;1691446	-;-	876	966	1561	1720	1962	130	218	110	101	618	1070	855	269	7586	3524	12625	2364	4188	4546	3289	1283	485	177	410	360
DDB_G0284213	4;4;4;4	1693950;1695499;1695872;1696387	1695352;1695753;1696178;1696569	-;-;-;-	2148	200	299	250	234	329	491	178	184	287	220	102	76	676	228	237	180	912	477	515	720	561	179	177	332
DDB_G0284181	4;4;4;4;4	1697594;1698201;1698671;1699106;1699365	1698022;1698593;1698985;1699286;1699535	-;-;-;-;-	1489	3571	3412	3374	4326	3759	4167	1712	1943	5516	5153	2204	1901	5437	1533	813	1762	6591	2314	3133	5147	6232	2578	1724	4346
DDB_G0284217	4;4;4;4	1700253;1700902;1701195;1701584	1700732;1701076;1701359;1701953	-;-;-;-	1190	2095	2370	2029	1948	1854	3424	1300	1380	2724	2113	1366	694	3345	1146	2031	1591	5775	2974	2287	3163	7277	1108	1903	3873
DDB_G0284219	4;4	1702610;1704464	1704375;1705017	-;-	2320	314	369	345	385	257	279	210	242	486	517	190	133	725	246	296	366	409	222	315	225	226	162	146	223
DDB_G0284221	4;4;4	1705500;1705855;1706027	1705740;1705924;1706082	-;-;-	367	3785	4453	5215	3716	7139	3430	3539	2471	8808	5310	6269	2003	7481	2167	7575	3819	7655	3221	2799	2801	11421	2644	5776	5677
DDB_G0284307	4;4;4;4;4;4;4;4;4;4;4;4;4	1706989;1707062;1707429;1707429;1707960;1707960;1708321;1708321;1708519;1708519;1708568;1708894;1708894	1707175;1707175;1707712;1707712;1708188;1708188;1708473;1708386;1708566;1708766;1708766;1708958;1708964	+;+;+;+;+;+;+;+;+;+;+;+;+	1172	3660	4409	4575	4449	4325	6494	2361	2949	8518	6577	3060	1346	7109	2273	3510	2841	10052	4765	4464	5826	10648	1756	2749	6483
DDB_G0284311	4	1711370	1712382	+	1013	593	785	718	782	2277	3431	1115	1713	3750	2774	1826	703	4258	1243	4433	1952	4857	2699	2460	2322	4369	894	1401	2314
DDB_G0284223	4	1712479	1714131	-	1653	3734	4196	3177	3528	2603	1508	1414	1396	1067	1456	2057	713	3931	1331	1163	1076	2848	1334	2005	1419	1432	1211	1636	1574
DDB_G0284225	4;4;4;4;4;4;4	1714755;1715078;1715274;1715548;1715755;1715935;1716368	1714807;1715199;1715383;1715639;1715813;1716203;1716696	+;+;+;+;+;+;+	1034	1463	1315	925	959	1815	1889	965	1118	1875	1475	1460	439	1470	456	1220	684	1744	1135	750	953	3465	664	1115	1845
DDB_G0284227	4;4	1717114;1717636	1717545;1721366	+;+	4163	375	712	526	419	125	65	114	52	142	180	39	59	114	36	49	77	96	39	104	72	73	66	37	67
DDB_G0284235	4;4	1723602;1724790	1724691;1725068	-;-	1369	70	75	55	23	124	159	74	52	569	375	253	109	212	61	114	84	311	101	117	134	377	59	168	206
DDB_G0284313	4;4;4;4	1725990;1726744;1727201;1727568	1726654;1726966;1727367;1727775	-;-;-;-	1263	105	116	125	92	112	81	66	72	154	106	37	21	196	83	77	89	204	59	102	170	121	45	75	102
DDB_G0284315	4;4	1728529;1728690	1728566;1729644	+;+	993	65	73	143	254	67572	57021	23600	27137	361	297	476	640	37327	11451	8352	5504	101214	30317	21072	50261	140929	22376	29425	47270
DDB_G0284237	4	1729814	1730224	-	411	34358	68679	45330	46311	12906	8575	21551	13361	53739	51667	30397	38285	31042	7591	31036	34046	17851	9357	14291	6122	10322	15597	27586	20572
DDB_G0284239	4;4;4	1731395;1731711;1733371	1731613;1732953;1733708	+;+;+	1800	0	0	1	0	3	5	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1
DDB_G0284241	4;4;4	1733961;1734427;1734992	1734316;1734915;1735439	+;+;+	1293	526	528	504	479	542	484	242	236	523	521	220	127	713	364	506	312	1071	530	531	662	1115	267	260	622
DDB_G0284243	4;4;4;4	1735724;1736122;1736454;1736812	1736009;1736356;1736662;1737529	-;-;-;-	1448	4453	4702	3904	4727	3832	1821	2044	3178	3754	5001	3752	3135	5981	2421	788	1799	3679	1158	3471	2930	1814	1641	1650	3522
DDB_G0284319	4;4;4;4;4;4;4	1741477;1741848;1742070;1742353;1742822;1743227;1743675	1741711;1741962;1742253;1742498;1743131;1743570;1746823	+;+;+;+;+;+;+	4483	287	545	576	490	481	170	259	189	365	461	140	178	379	132	157	183	312	142	266	143	284	232	179	264
DDB_G0284245	4;4;4	1747466;1748504;1748791	1748261;1748685;1748983	-;-;-	1171	1793	2292	1960	2066	462	1396	355	254	4249	3208	739	443	1284	620	828	743	1794	1535	1362	1165	1082	211	244	531
DDB_G0284247	4;4	1749547;1750042	1749941;1751523	+;+	1877	109	177	152	158	33	64	46	19	244	201	64	34	66	29	96	33	80	47	97	58	50	30	35	19
DDB_G0284249	4	1751734	1754043	-	2310	2449	3066	2578	2770	1315	218	909	560	412	715	598	484	1507	717	586	779	734	241	1030	338	352	1159	620	647
DDB_G0284251	4;4;4;4;4	1754346;1754898;1755289;1755803;1756140	1754797;1755200;1755686;1756032;1756265	-;-;-;-;-	1509	314	332	282	255	839	1824	665	522	1355	969	645	252	3403	850	1183	995	5295	1994	1675	3965	3547	1175	1127	2050
DDB_G0284253	4;4;4;4	1758111;1758454;1758692;1759066	1758350;1758616;1758960;1759486	-;-;-;-	1093	752	746	727	582	1297	1367	904	678	4619	3622	5335	951	2353	1070	2243	1255	2724	1642	1284	1498	3236	608	1835	1695
DDB_G0284321	4;4;4;4;4;4;4	1759965;1760722;1762118;1763024;1763334;1763575;1763874	1760120;1762033;1762837;1763142;1763442;1763783;1764027	+;+;+;+;+;+;+	2779	346	566	276	280	1057	363	779	634	1617	1829	713	799	731	236	529	594	516	194	459	300	628	515	270	340
DDB_G0284255	4	1777902	1780775	+	2874	1497	2741	1583	1826	9239	6097	4809	9553	9214	9193	1932	3755	6594	1991	1219	3312	5348	1714	3741	3823	6243	3104	2032	6996
DDB_G0284257	4;4	1781336;1782585	1782504;1782846	-;-	1431	256	310	385	505	146	202	149	80	80	107	84	59	152	93	57	71	208	178	333	165	108	100	144	202
DDB_G0284323	4;4;4	1783088;1783426;1783625	1783309;1783529;1785177	+;+;+	1879	379	574	659	883	518	598	439	299	790	577	272	155	742	259	709	343	775	546	564	434	624	305	346	373
DDB_G0294595	4;4;4	1785353;1786042;1786621	1785961;1786513;1787081	+;+;+	1542	135	87	78	74	23	20	10	16	144	125	38	13	64	24	43	24	88	23	45	71	32	20	24	38
DDB_G0284259	4;4;4	1787150;1789584;1789784	1789461;1789692;1790096	-;-;-	2734	6309	9130	7961	9522	1986	1682	1325	630	2330	3155	1635	1709	3078	1517	967	1139	2912	1034	2351	1862	2176	2299	1953	2372
DDB_G0284185	4	1791019	1791714	+	696	140	292	235	171	76	45	100	39	43	58	82	5	156	74	302	58	253	92	204	82	229	47	266	143
DDB_G0284303	4;4	1792372;1792661	1792526;1793021	+;+	516	6	7	14	14	5	9	9	5	8	6	11	1	9	2	8	8	6	8	6	4	13	2	15	5
DDB_G0284261	4	1793617	1795080	+	1464	35	61	60	43	3	2	1	2	7	7	5	1	2	2	6	3	4	1	6	4	0	1	0	3
DDB_G0284263	4;4;4;4;4	1795276;1795478;1796565;1796878;1797370	1795297;1796466;1796764;1797264;1797570	-;-;-;-;-	1799	359	413	550	552	1830	1600	1050	990	953	676	200	119	814	335	341	274	953	668	437	525	1541	365	244	685
DDB_G0284265	4;4	1798184;1798494	1798313;1799212	+;+	849	27663	22658	20266	19453	19834	11038	4792	7933	7301	9139	16043	5236	19129	6653	2424	3329	19566	7406	8924	10651	19956	6488	7481	13176
DDB_G0284267	4	1799493	1801319	-	1827	2928	6040	4532	5042	4844	1760	3879	3289	5126	6654	404	4520	4691	1010	2178	4733	4017	1131	4112	1731	2121	4530	1291	4340
DDB_G0284269	4;4	1803929;1804244	1804139;1804443	+;+	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0284273	4;4;4	1806777;1807058;1807451	1806966;1807382;1808558	+;+;+	1623	897	913	707	680	917	1119	458	499	1272	1037	403	191	1041	353	831	547	1441	837	759	918	1684	329	339	651
DDB_G0284325	4;4;4	1809401;1810824;1811413	1810648;1811311;1811869	+;+;+	2193	52	96	102	121	1588	2644	738	767	111	117	26	47	1596	469	339	294	4557	1471	1545	3980	4662	860	710	1593
DDB_G0284327	4;4;4;4;4;4;4	1812405;1812704;1812708;1812933;1812933;1813389;1813389	1812631;1812835;1812835;1813302;1813302;1813706;1813706	+;+;+;+;+;+;+	1047	1	0	3	1	8318	2850	3721	3440	1	1	1	0	2	0	1	0	31	6	4	24	3095	288	993	1186
DDB_G0284187	4;4	1813905;1819416	1819279;1819511	-;-	5471	243	551	305	320	666	787	526	346	1837	1676	224	570	770	365	239	381	749	491	620	821	722	327	194	378
DDB_G0284275	4	1820423	1821508	+	1086	189	155	153	145	372	299	138	219	206	165	119	64	268	127	98	111	360	131	219	231	380	102	126	250
DDB_G0284277	4;4	1821556;1822448	1822382;1822508	-;-	888	1649	2465	937	976	245	375	253	136	613	582	529	68	336	114	203	135	173	138	138	91	318	101	197	200
DDB_G0284281	4;4;4	1827185;1828628;1830091	1828540;1829880;1830411	-;-;-	2930	71	91	94	106	176	46	129	105	136	145	35	47	95	60	37	63	108	30	66	70	63	49	32	60
DDB_G0284283	4;4	1832486;1832564	1832496;1832791	+;+	239	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
DDB_G0284285	4;4	1833130;1833516	1833133;1833907	+;+	396	67	67	40	68	13	11	16	13	33	23	18	8	34	3	30	36	22	16	27	10	11	15	17	18
DDB_G0284287	4;4	1834044;1834528	1834421;1834741	-;-	592	13	4	10	8	107	24	84	83	5	6	6	4	9	1	8	6	22	6	9	10	97	8	27	26
DDB_G0284289	4;4;4	1835401;1835668;1836081	1835550;1836006;1837830	-;-;-	2239	1158	1339	1076	1122	530	166	194	227	326	524	147	194	270	135	105	118	236	90	196	177	343	148	184	251
DDB_G0284291	4;4	1838996;1839669	1839444;1839788	-;-	569	385	440	612	479	147	251	186	90	1089	665	638	302	273	109	358	238	275	303	195	152	269	66	319	335
DDB_G0284293	4;4	1841181;1842066	1841853;1843317	+;+	1925	397	871	645	729	557	571	840	426	1865	1755	299	938	361	107	344	708	423	272	870	238	343	613	296	602
